Index,Checked,Date,Channel Name,Youtube Link,Subscribers,Average views
,FALSE,October 24,jschlattLIVE,https://www.youtube.com/c/jschlattLIVE/about,2.98M,877K
,FALSE,October 24,Blooprint,https://www.youtube.com/c/Blooprint/about,1.46M,858K
,FALSE,October 24,Welyn,https://www.youtube.com/c/Welyn/about,2.63M,803K
,FALSE,October 24,Game My,https://www.youtube.com/channel/UCk7JlPO3PvIbeSQpXnp9Qkw/about,518K,917K
,FALSE,October 24,Neonight,https://www.youtube.com/c/Neonight/about,536K,563K
,FALSE,October 24,BeamNG Nation,https://www.youtube.com/channel/UCP20blw_Bz9V7HFTvLlGiNQ/about,2.69M,642K
,FALSE,October 24,Amberry,https://www.youtube.com/c/Amberry/about,1.35M,150K
,FALSE,October 24,Daz Games,https://www.youtube.com/user/Dazblackgames/about,6.95M,467K
,FALSE,October 24,jackfrags,https://www.youtube.com/user/jackfrags/about,3.8M,486K
,FALSE,October 24,Renju,https://www.youtube.com/c/Renju/about,782K,962K
,FALSE,October 24,Judo Sloth Gaming,https://www.youtube.com/c/JudoSloth/about,1.03M,606K
,FALSE,October 24,JustJoeKing,https://www.youtube.com/c/JustJoeKing/about,865K,269K
,FALSE,October 24,8-BitRyan,https://www.youtube.com/c/8BitRyan/about,3.16M,201K
,FALSE,October 24,TorvestaRS,https://www.youtube.com/c/TorvestaRS/about,447K,175K
,FALSE,October 24,xisumavoid,https://www.youtube.com/c/XisumavoidMC/about,1.74M,466K
,FALSE,October 30,mashed,https://www.youtube.com/c/mashed/about,3.14M,211K
,FALSE,October 30,AnthonyPit1,https://www.youtube.com/c/Anthonypit11/about,1.34M,181K
,FALSE,October 30,Purpled,https://www.youtube.com/c/PurpledMC/about,1.16M,325K
,FALSE,October 30,MERTZY,https://www.youtube.com/c/MERTZY/about,1.35M,373K
,FALSE,October 30,Vikkstar123,https://www.youtube.com/c/Vikkstar123/about,7.43M,115K
,FALSE,October 30,llStevell,https://www.youtube.com/user/IlSteveIl/about,555K,152K
,FALSE,October 30,The JRM,https://www.youtube.com/c/TheJRM/about,266K,222K
,FALSE,October 30,Captain Eggcellent,https://www.youtube.com/c/CaptainEggcellent/about,653K,326.5K
,FALSE,October 30,F1NN5TER,https://www.youtube.com/c/F1NN5TER/about,505K,148K
,FALSE,October 30,Real Civil Engineer,https://www.youtube.com/c/RealCivilEngineerGaming/about,672K,180K
,FALSE,October 30,JoshDub,https://www.youtube.com/c/JoshDubGaming/videos,9.16M,278K
,FALSE,October 30,Stimpee,https://www.youtube.com/c/SomethingAwesome/about,754K,381K
,FALSE,October 30,PearlescentMoon,https://www.youtube.com/c/PearlescentMoon/about,510K,163K
,FALSE,November 14,Kaidoz,https://www.youtube.com/c/Kaidoz/about,2.29M,116K
,FALSE,November 14,8-BitRyan,https://www.youtube.com/c/8BitRyan/about,3.18M,351K
,FALSE,November 14,SunlessKhan,https://www.youtube.com/c/SunlessKhan/about,2.02M,478K
,FALSE,November 14,Trimix,https://www.youtube.com/c/TrimixYT/about,1.82M,233K
,FALSE,November 14,TruNoom,https://www.youtube.com/c/NoomGaming/about,505K,182K
,FALSE,November 14,DarkViperAU,https://www.youtube.com/c/DarkViperAU/about,870K,229K
,FALSE,November 14,Midbeast,https://www.youtube.com/channel/UC6mWuX4R9Yn5y0fWCwzqiSg/videos,366K,217K
,FALSE,November 26,TheLazyPeon,https://www.youtube.com/user/ALazyPeon/about,655K,143K
,FALSE,November 26,spoonkid2,https://www.youtube.com/channel/UCCo6EC0MOfJSnHbD3LI6iFA/about,389K,410K
,FALSE,November 26,Shroud,https://www.youtube.com/c/shroud/about,6.81M,190K
,FALSE,November 26,Swagg,https://www.youtube.com/user/SwaggXBL/about,2.46M,176K
,FALSE,November 26,More TimTheTatman,https://www.youtube.com/c/MoreTimTheTatman/about,751K,110K
,FALSE,November 26,iiTzTimmy,https://www.youtube.com/c/iiTzTimmy/about,941K,167K
,FALSE,November 26,kandyrew,https://www.youtube.com/c/kAndyREW/about,714K,131K
,FALSE,November 26,Macro,https://www.youtube.com/c/TheMacroShow/about,1.19M,280K
,FALSE,,Mat Armstrong,https://www.youtube.com/c/MatArmstrongbmx/featured,,Cars
,FALSE,,KFC CLASH,https://www.youtube.com/c/KFCCLASH/featured,,Clash Royale game
,FALSE,,Switch and Click,https://www.youtube.com/c/SwitchandClickOfficial/featured,,Tech channel mostly keyboards
,FALSE,,Glarses,https://www.youtube.com/c/Glarses/featured,,Keyboard tech
,FALSE,,BotezLive,https://www.youtube.com/c/BotezLive/featured,,Chess
,FALSE,,Goosiest,https://www.youtube.com/c/Goosiest/featured,,Car Racing games
,FALSE,,SunnyV2,https://www.youtube.com/c/SunnyV2/featured,,commentates success/downfall of youtubers
,FALSE,,CboysTV,https://www.youtube.com/c/CboysTV/featured,,Cars and ATV's
,FALSE,,BoostedBoiz,https://www.youtube.com/c/boostedboiz/featured,,Cars
,FALSE,,Adam LZ,https://www.youtube.com/c/AdamLZ/featured,,Cars
,FALSE,,AR12Gaming,https://www.youtube.com/c/AR12Gaming/featured,,Car Racing games
,FALSE,,Ashville,https://www.youtube.com/c/thisisashville/featured,,Construction/Business
,FALSE,,Tj Hunt,https://www.youtube.com/c/TjHunt28/featured,,Cars
,FALSE,,Street Speed 717,https://www.youtube.com/c/StreetSpeed717/featured,,Cars
,FALSE,,Brandon Walsh,https://www.youtube.com/c/BrandonWalshOfficial/featured,,Challenge videos
,FALSE,,JayzTwoCents,https://www.youtube.com/c/Jayztwocents/featured,,PC tech
,FALSE,,Samcrac,https://www.youtube.com/c/Samcrac/featured,,Car Rebuilds
,FALSE,,AMMO NYC,https://www.youtube.com/c/AMMONYCdotcom/featured,,Car Detailing
,FALSE,,Tavarish,https://www.youtube.com/c/tavarish/featured,,Car Rebuilds
,FALSE,,EmeliaHartford,https://www.youtube.com/c/EmeliaHartford/featured,,Cars
,FALSE,,Skep,https://www.youtube.com/c/SkeppyPlays/featured,,Minecraft
,FALSE,,B is for Build,https://www.youtube.com/c/BisforBuild/featured,,Car Rebuilds
,FALSE,,Wirtual,https://www.youtube.com/c/Wirtual/featured,,Trackmania game
,FALSE,,Cleetus McFarland,https://www.youtube.com/c/SPOCARVideos/featured,,Cars
,FALSE,,ItsJim,https://www.youtube.com/c/ItsJimJCX/featured,,Minecraft
,FALSE,,SeaWattgaming,https://www.youtube.com/c/seawattgaming/featured,,Minecraft
,FALSE,,Fireball Tool,https://www.youtube.com/c/FireballTool/featured,,Fabrication/Projetcs
,FALSE,,roshambogames,https://www.youtube.com/c/roshambogames/featured,,Minecraft
,FALSE,,Car Throttle,https://www.youtube.com/c/CarThrottle/featured,,Cars
,FALSE,,DailyDrivenExotics,https://www.youtube.com/c/DailyDrivenExotics/featured,,Cars
,FALSE,,Omziscool,https://www.youtube.com/c/Omziscool/featured,,Minecraft
,FALSE,,Bikes and Beards,https://www.youtube.com/c/BikesandBeards/featured,,Motorbikes
,FALSE,,Mav,https://www.youtube.com/channel/UCL_BZpt0J9Kqwy6YPWr30ow/featured,,Outdoors/Camping
,FALSE,,Vice Grip Garage,https://www.youtube.com/c/ViceGripGarage/featured,,Cars
,FALSE,,Spoke,https://www.youtube.com/c/Spokeishere/featured,,Minecraft
,FALSE,,Hoovies Garage,https://www.youtube.com/c/HooviesGarage/featured,,Cars
,FALSE,,The Detail Geek,https://www.youtube.com/c/TheDetailGeek/featured,,Details Cars
,FALSE,,Boosfer,https://www.youtube.com/c/Boosfer/featured,,Minecraft
,FALSE,,Evbo,https://www.youtube.com/channel/UC1HL3TABt6QGd_P857BH_CA/featured,,Minecraft
,FALSE,,HeavyDSparks,https://www.youtube.com/c/HeavyDSparks/about,1.49M,646K
,FALSE,,TheStradman,https://www.youtube.com/c/TheStradman/about,3.5M,775K
,FALSE,,FRANKIEonPC,https://www.youtube.com/c/frankieonpc/about,3.46M,367K
,FALSE,,Tavarish,https://www.youtube.com/c/tavarish/about,2.03M,367K
,FALSE,,Built Not Bought,https://www.youtube.com/user/speyles/about,192K,104K
,FALSE,,Junkyard Digs,https://www.youtube.com/c/JunkyardDigs/about,725K,121K
,FALSE,,Fab Rats,https://www.youtube.com/c/FabRats/about,317K,344K
,FALSE,,Manny Khoshbin,https://www.youtube.com/c/MannyKhoshbinyt/about,1.37M,171K
,FALSE,,Adam LZ,https://www.youtube.com/c/AdamLZ/about,3.33M,271K
,FALSE,,Driver61,https://www.youtube.com/c/Driver61/about,757K,473K
,FALSE,,Edd China,https://www.youtube.com/c/eddchina/videos,892K,229K
,FALSE,,James Bruton,https://www.youtube.com/c/jamesbruton/about,1.04M,107K
,FALSE,,Apple Explained,https://www.youtube.com/c/AppleExplained/about,1.16M,181K
,FALSE,,The Deal Guy,https://www.youtube.com/c/thedealguy/about,1.79M,240K
,FALSE,,Joe Scott,https://www.youtube.com/c/joescott/about,1.34M,221K
,FALSE,,NetworkChuck,https://www.youtube.com/c/NetworkChuck/about,1.84M,100K
,FALSE,,MrMobile [Michael Fisher],https://www.youtube.com/c/TheMrMobile/about,1.16M,180K
